,Unnamed: 0,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
28799,28799,1401,3,140,1,1,1,0,قیطریه، خیابان دیباجی جنوبی (بزرگراه صدر),96428000.0,5.0
28800,28800,1397,3,135,1,1,1,0,نیلوفر,91111000.0,3.0
28801,28801,1384,1,48,0,1,1,0,جیحون,37500000.0,2.0
28802,28802,1401,4,550,1,1,1,0,اقدسیه,360000000.0,2.0
28803,28803,1401,4,300,1,1,1,0,ولنجک,300000000.0,7.0
28804,28804,1401,4,300,1,1,1,0,اقدسیه، خیابان اقدسیه (خیابان پاسداران),300000000.0,1.0
28805,28805,1401,2,100,1,1,1,0,شهرک راه‌آهن,13500000.0,13.0
28806,28806,1394,1,58,1,0,1,0,جیحون,41379000.0,1.0
28807,28807,1399,3,168,1,1,1,0,میرداماد,120833000.0,1.0
28808,28808,1398,2,116,1,1,1,0,دریاچه شهدای خلیج فارس,46120000.0,15.0
28809,28809,1381,1,43,0,1,1,0,جی,40697000.0,1.0
28810,28810,1386,3,215,1,1,1,0,مرزداران,73488000.0,4.0
28811,28811,1385,2,71,0,1,1,0,جیحون,40845000.0,1.0
28812,28812,1394,2,110,1,1,1,0,جردن,110000000.0,1.0
28813,28813,1400,2,91,1,1,1,0,اباذر,86813000.0,7.0
28814,28814,1401,2,110,1,1,1,0,نیلوفر,100000000.0,3.0
28815,28815,1388,2,74,1,1,1,0,پونک,75675000.0,1.0
28816,28816,1382,1,45,0,0,0,0,سلسبیل,30000000.0,1.0
28817,28817,1401,3,145,1,1,1,0,سهروردی,80000000.0,4.0
28818,28818,1383,3,126,1,1,1,0,سعادت‌آباد,83333000.0,2.0
28819,28819,1400,0,50,0,1,1,0,چیتگر,16000000.0,7.0
28820,28820,1401,2,67,1,1,1,0,گیشا (کوی نصر),110000000.0,5.0
28821,28821,1385,2,100,0,1,1,0,حمزه‌آباد,23760000.0,4.0
28822,28822,1398,2,95,1,1,1,0,مرزداران,88421000.0,5.0
28823,28823,1389,3,133,1,1,1,0,المهدی,58646000.0,2.0
28824,28824,1400,1,60,1,1,1,0,گیشا (کوی نصر),115000000.0,4.0
28825,28825,1395,2,82,1,1,1,0,گیشا (کوی نصر),109756000.0,1.0
28826,28826,1391,2,60,1,1,1,0,دزاشیب,101666000.0,2.0
28827,28827,1400,2,92,1,1,1,0,گیشا (کوی نصر),115000000.0,1.0
28828,28828,1401,3,20,1,1,1,0,دریاچه شهدای خلیج فارس,20500000.0,30.0
28829,28829,1384,2,78,0,0,1,0,هروی,53846000.0,3.0
28830,28830,1401,2,112,1,1,1,0,دریاچه شهدای خلیج فارس,43750000.0,13.0
28831,28831,1397,3,123,1,1,1,0,سهروردی، خیابان خرمشهر (خیابان سهروردی شمالی),101626000.0,1.0
28832,28832,1401,2,100,1,1,1,0,شهرک راه‌آهن,78500000.0,3.0
28833,28833,1395,1,46,1,0,1,0,جیحون,43478000.0,1.0
28834,28834,1400,3,180,1,1,1,0,آجودانیه,172222000.0,4.0
28835,28835,1401,1,52,1,0,1,0,جیحون,37692000.0,3.0
28836,28836,1395,3,225,1,1,1,0,زعفرانیه,168444000.0,4.0
28837,28837,1401,3,146,1,1,1,0,امیرآباد,109589000.0,3.0
28838,28838,1393,3,113,1,1,1,0,فیروزآبادی,39380000.0,1.0
28839,28839,1390,1,68,0,0,1,0,امامزاده حسن(ع)، خیابان امین الملک (خ. قزوین),31029000.0,4.0
28840,28840,1397,2,92,1,1,1,0,گیشا (کوی نصر),110000000.0,1.0
28841,28841,1371,1,53,0,0,0,0,مدائن,43396000.0,2.0
28842,28842,1385,2,72,1,1,1,0,سازمان برنامه,70138000.0,3.0
28843,28843,1401,3,124,1,1,1,0,دیلمان,52016000.0,4.0
